Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,outcome,company_name
47.04,10062.0,0,0.0,-0.017,28.75,0.9716911959241369,-0.9856423743563989,445.98999999999967,2.0,0,33.0,0,0,Hewitt And Hyland Leisure Ltd
74.77,56260.0,0,0.0,-0.072,12.73,0.46526839855209884,-0.36602052626841336,241.10769230769296,8.153846153846153,0,42.0,0,0,Hidden Pretty Gifts Ltd
84.07,88654.0,0,0.0,-0.011,50.0,0.37152100445544606,-0.06772938832841865,-306.17692307692346,16.615384615384617,0,44.0,0,1,House Of Mystery(1)
84.07,88654.0,0,0.0,-0.011,50.0,0.37152100445544606,-0.06772938832841865,-306.17692307692346,16.615384615384617,0,44.0,0,1,House Of Mystery
80.09,990224.0,0,0.0,0.008,31.0,0.23807550358778656,0.03532771315690395,-4384.9423076923085,23.692307692307693,0,22.0,0,1,Hsids
79.16,1367755.0,0,0.0,0.006,12.96,0.37798152332896895,0.25195237109352553,-19021.67692307684,21.615384615384617,0,77.0,0,0,Hursley Childcare Ltd
77.2,53597.0,0,0.0,-0.088,50.0,1.5816390948522705,3.331520905295577,688.818181818182,0.0,2,32.0,0,0,Hussains Leicester Ltd(1)
77.2,53597.0,0,0.0,-0.088,50.0,1.5816390948522705,3.331520905295577,688.818181818182,0.0,2,32.0,0,0,Hussains Leicester Ltd
82.01,312389.0,0,0.0,-0.102,2.28,0.6805734050114581,-0.45728148598188,-7730.010000000014,17.153846153846153,0,96.0,0,0,Ibbmedialtd
80.65,90669.0,0,0.0,0.036,5.81,0.5513805614073031,0.235485341284838,296.185555555555,0.0,0,11.0,0,0,Ings Pet Store & Grooming Ltd
82.98,2653.0,0,0.0,-0.562,1.45,0.4344689773393099,-0.6057558360657951,2058.75,0.0,0,45.0,0,1,Ivy Aesthetic Clinic Academy Ltd
68.04,11348.0,0,0.0,0.001,10.0,0.5197529463972455,1.0045951035781544,886.116,0.0,1,28.0,0,0,Jay Heath Ltd
43.53,3643.0,0,0.0,0.058,50.0,0.5,0.0,74.68,4.0,0,28.0,0,1,Jb Bars Ltd
74.14,5478.0,0,0.0,0.511,5.07,0.701106146221323,-0.9942383293235064,-16.65000000000009,14.666666666666666,0,133.0,0,0,Jemark Ltd
64.89,110383.0,0,0.0,0.074,31.47,0.4782281348148099,0.4076277664539051,3024.6124999999993,0.0,0,15.0,0,0,Joao Motorcyles Ltd
60.74,82293.0,0,0.0,-0.063,50.0,0.48091936438403216,0.30024976644812545,1770.2746153846124,1.9230769230769231,0,22.0,0,0,Journeyman Barbers Ltd
81.34,307769.0,0,0.0,-0.196,50.0,0.35031667570334807,0.057958979763065174,-252.73230769230577,14.23076923076923,35,41.0,0,1,Kahras Keighley Ltd
74.46,2394.0,0,0.0,-0.233,11.15,0.5,0.0,405.12999999999994,8.0,0,57.0,0,1,Kam Marketing Group Limited
47.46,5931.0,0,0.0,-0.001,10.0,0.9218796323747406,-0.9593521018125722,23.615000000000123,8.5,0,37.0,0,0,Ketco Direct Limited
85.97,35308.0,0,0.0,0.11,50.0,0.561712555251178,2.5632153600616587,458.15000000000094,1.5,0,34.0,0,0,Kids Tech Company Ltd
50.0,1183.0,0,0.0,0.489,2.04,0.5,0.0,130.17,0.0,0,24.0,0,1,Krafty Designs 4 You Limited
77.16,11340.0,0,0.0,-0.211,5.74,0.5,0.0,4141.619999999998,2.0,0,59.0,0,1,Kurkland Ltd
67.28,102534.0,0,0.0,-0.086,15.39,0.9665809995633745,2.055189841981618,-2793.156923076917,24.692307692307693,0,82.0,0,0,Lime Service Group Ltd
68.86,29564.0,0,0.0,-0.021,41.45,1.3305281351195635,2.545820033152247,794.9124999999989,17.0,0,21.0,0,0,Ljr Group Services Limited
89.58,158803.0,0,0.0,-0.355,31.52,1.2808563400505404,1.724032154868897,20715.758461538462,10.461538461538462,0,15.0,0,0,London Kizomba Festival
86.11,76725.0,0,0.0,0.031,34.0,0.4904941100210786,0.4518590437701025,969.242,0.0,0,150.0,0,0,London Recruiting
74.52,8808.0,0,0.0,0.133,10.0,0.5679016839189845,-0.2720384411446879,1144.4357142857148,0.0,0,20.0,0,0,London21 Ltd
71.27,45388.0,0,0.0,0.001,50.0,0.4398102974283788,-0.21892891141442886,-718.3684615384644,17.692307692307693,0,79.0,0,0,Lopez Plant Hire Ltd
86.68,9062.0,0,0.0,-1.0,19.72,0.34279222979348484,-0.5105662993688974,13136.885000000004,0.0,0,54.0,0,0,Lumi Skn Ltd
50.0,32295.0,0,0.0,0.004,50.0,1.4829168457781539,-0.886234020851086,120.20249999999984,7.75,2,24.0,0,0,Madinska & Co Ltd
93.29,1370.0,0,0.0,0.579,3.04,1.0,0.0,44.58499999999995,12.0,0,112.0,0,0,Maj Trade Ltd
67.63,23097.0,0,0.0,-0.07,14.86,0.5,0.0,2683.209999999998,3.0,1,113.0,0,1,Manzil Property Management
55.36,20730.0,0,0.0,0.019409059619363508,10.0,1.1558564404600673,0.7106631814053952,399.44818181818204,0.6363636363636364,0,13.0,0,0,Mar Carpio Ltd
71.7,3245101.0,0,0.0,-0.681,8.57,0.2717852067015499,0.3776755790836906,-26953.99923076931,24.153846153846153,0,96.0,0,1,Marvel Heating & Renewable Energy Ltd
42.56,628.0,0,0.0,-1.0,3.49,0.5,0.0,231.6199999999999,4.0,0,119.0,0,1,Marvellous Glow Ltd
62.53,13340.0,0,0.0,0.109,50.0,0.4376721853435836,-0.6088622841916999,738.7449999999995,2.0,0,30.0,0,0,Master Brewer Ltd
69.93,112871.0,0,0.0,0.082,3.71,0.5717096781262239,0.08884405109786975,1128.66307692308,9.615384615384615,0,32.0,0,0,Mc Building & Interiors Ltd
79.48,1986.0,0,0.0,-0.129,1.51,0.5,0.0,696.92,0.0,0,40.0,0,1,Mecn Marketing Ltd
75.91,1863.0,0,0.0,0.154,23.29,0.4923144534231693,-0.41083098206971874,10.333333333333337,4.0,0,27.0,0,0,Meli'S Landscaping Ltd
69.78,41533.0,0,0.0,0.399,2.6,0.4988071183651452,0.21237257079605998,1815.28625,0.0,0,40.0,0,0,Mens Hair London
78.48,7899.0,0,0.0,-0.035,10.0,0.5,0.0,662.2600000000006,2.0,0,48.0,0,1,Mh Home Renovations Ltd
79.69,22315.0,0,0.0,0.156,3.65,0.6967238432351559,1.8656414132098031,-56.2192307692308,14.0,0,43.0,0,0,Mikaiel Limited
67.03,83783.0,0,0.0,0.008667075489419463,50.0,1.5154984383906966,17.727171841545953,-152.591666666667,18.75,0,25.0,0,0,Milton Fire Safety
82.03,89422.0,0,0.0,-0.173,8.99,0.43402214859686206,0.35245007493318026,6441.230769230757,1.3076923076923077,0,79.0,0,0,Momokakkoii Ltd
52.55,1318.0,0,0.0,0.134,5.2,0.18237651740145902,0.44611369727747213,189.17999999999995,0.0,0,45.0,0,1,Moonlight Smc Ltd
94.28,220524.0,0,0.0,-0.044,50.0,0.301788604240795,-0.2031351376349361,8190.127692307664,0.9230769230769231,0,106.0,0,1,Moviescape Ltd
86.46,170561.0,0,0.0,-0.048,6.39,0.44284431513986605,-0.07281290175150347,2384.733076923071,2.6153846153846154,0,32.0,0,0,Moving Ewe Ltd(1)
86.46,170561.0,0,0.0,-0.048,6.39,0.44284431513986605,-0.07281290175150347,2384.733076923071,2.6153846153846154,0,32.0,0,0,Moving Ewe Ltd
74.04,3702.0,0,0.0,0.121,6.83,0.5635210257258259,-0.7689773410159426,-145.30999999999992,6.666666666666667,0,29.0,0,0,Mr Eats Group Ltd
81.34,1439.0,0,0.0,0.12,10.0,0.5,0.0,153.92,7.0,0,58.0,0,1,Msfmart Uk Ltd
74.97,42796.0,0,0.0,0.008,18.64,0.8421827336022077,0.5196328780477277,-1851.577999999993,13.0,3,10.0,0,0,Mundy Grooming Ltd
70.4,127357.0,0,0.0,0.135,6.19,0.36041158125182404,0.2236444047591284,308.2938461538452,3.3076923076923075,0,108.0,0,0,Muscle Makers Gym Limited
86.03,9897.0,0,0.0,0.076,15.2,0.8882254521072293,1.2189651241395036,863.3185714285713,0.0,0,16.0,0,0,Mym Suppliers Ltd
89.34,182643.0,0,0.0,-0.286,8.05,0.4074638430646299,-0.08915358554272157,22772.293076923124,2.4615384615384617,2,7.0,0,0,Nadia Miah Hair And Skin Ltd
63.61,7934.0,0,0.0,-0.002,10.0,0.8243337365050815,-0.16862989742119305,-17.873636363636372,24.545454545454547,0,112.0,0,0,Noble Executive Limited
87.16,55869.0,0,0.0,-0.282,50.0,0.33442371679394917,0.34779166985573917,7682.313076923069,0.38461538461538464,0,10.0,0,0,Noble Parking Ltd
80.1,130485.0,0,0.0,0.005,50.0,0.5181529557525553,-0.14408642582361958,806.7969230769218,0.7692307692307693,0,24.0,0,0,Om Clinic Limited
82.66,37706033.0,0,0.0,0.393,2.47,0.34523148650879726,-0.11834652344981117,50727.02230769218,3.769230769230769,0,216.0,0,0,Optimum Vehicles Limited
81.79,1496.0,0,0.0,0.033,10.0,0.39705882352941174,-0.5684210526315789,3.3950000000000067,0.0,0,25.0,0,0,Oxford Driveways And Roofing Limited
84.73,53006.0,0,0.0,0.037,50.0,0.26008350013866377,0.7030077047542652,1612.3149999999996,2.0,0,156.0,0,0,Pak Euro Cash And Carry
