original_filename,clean_company_name,proposed_filename,collision_group_size,collision_status,would_rename,file_size,last_modified
"Deli Ice Limited_0,0.json",Deli Ice Limited,Deli Ice Limited - 02.json,2,collision_numbered,True,4234895,1771591377.0864353
Deluxe Lounge - GetReportByID.json,Deluxe Lounge,Deluxe Lounge - 01.json,2,collision_numbered,True,4002170,1721217162.0
"Deluxe Lounge_0,0.json",Deluxe Lounge,Deluxe Lounge - 02.json,2,collision_numbered,True,6373248,1771591378.2528744
Denteuropa Limited - Transaction Report.json,Denteuropa Limited,Denteuropa Limited.json,1,unique,True,184298,1719910598.0
Dentouch Limited.json,Dentouch Limited,Dentouch Limited.json,1,unique,False,3973320,1725528271.0
DHG E-Commerce Ltd - GetReportByID.json,DHG E-Commerce Ltd,DHG E-Commerce Ltd.json,1,unique,True,4171816,1747739703.0
DIAMOND BRICKWORK AND GROUNDWORKS LTD - GetReportByID.json,DIAMOND BRICKWORK AND GROUNDWORKS Ltd,DIAMOND BRICKWORK AND GROUNDWORKS Ltd.json,1,unique,True,1525231,1747393680.0
Differencesnotdisabilities.json,Differencesnotdisabilities,Differencesnotdisabilities.json,1,unique,False,2244641,1775808648.0
Diva Hair Studio Ltd.json,Diva Hair Studio Ltd,Diva Hair Studio Ltd.json,1,unique,False,742313,1771591290.4300144
DJC Trading Spirits Ltd Transaction Report.json,DJC Trading Spirits Ltd,DJC Trading Spirits Ltd.json,1,unique,True,968897,1722268523.0
DKC Menswear Ltd.json,DKC Menswear Ltd,DKC Menswear Ltd.json,1,unique,False,1009880,1776246499.0
DLC lighting limited - Transaction Report.json,DLC Lighting Limited,DLC Lighting Limited.json,1,unique,True,180265,1719911806.0
DLC Lighting Ltd - GetReportByID.json,DLC Lighting Ltd,DLC Lighting Ltd - 01.json,2,collision_numbered,True,1355321,1720188538.0
"DLC Lighting Ltd_0,0.json",DLC Lighting Ltd,DLC Lighting Ltd - 02.json,2,collision_numbered,True,2164376,1771591376.1702538
Dottie dances ltd.json,Dottie Dances Ltd,Dottie Dances Ltd.json,1,unique,True,958567,1771591290.4300144
Drillskillz Consults Limited - GetReportByID (1)(1).json,Drillskillz Consults Limited,Drillskillz Consults Limited - 01.json,4,collision_numbered,True,711941,1752745322.0
Drillskillz Consults Limited - GetReportByID.json,Drillskillz Consults Limited,Drillskillz Consults Limited - 02.json,4,collision_numbered,True,712117,1719569507.0
"Drillskillz Consults Limited_0,0.json",Drillskillz Consults Limited,Drillskillz Consults Limited - 03.json,4,collision_numbered,True,1141185,1771591380.044533
Drillskillz Consults Limited_categorized.json,Drillskillz Consults Limited,Drillskillz Consults Limited - 04.json,4,collision_numbered,True,1144472,1726256727.0
DRIVESNAP LIMITED - GetReportByID.json,DRIVESNAP Limited,DRIVESNAP Limited.json,1,unique,True,632819,1747229427.0
DRP decorators ltd.json,DRP Decorators Ltd,DRP Decorators Ltd.json,1,unique,True,383097,1772300591.0
DTS Materials Ltd - Transaction Report.json,DTS Materials Ltd,DTS Materials Ltd - 01.json,2,collision_numbered,True,190836,1719912046.0
"DTS Materials Ltd_0,0.json",DTS Materials Ltd,DTS Materials Ltd - 02.json,2,collision_numbered,True,214833,1771591376.819488
Due Auto Motive LTD.json,Due Auto Motive Ltd,Due Auto Motive Ltd.json,1,unique,True,1463652,1771591290.4465146
Dybo Travel Limited.json,Dybo Travel Limited,Dybo Travel Limited.json,1,unique,False,307278,1771591290.4465146
E & R IRVING FISHMONGERS LTD.json,E & R IRVING FISHMONGERS Ltd,E & R IRVING FISHMONGERS Ltd.json,1,unique,True,445816,1779176788.0
E-gener8.com.json,E-gener8.com,E-gener8.com - 01.json,2,collision_numbered,True,3008119,1725877351.0
"E-gener8.com_0,0.json",E-gener8.com,E-gener8.com - 02.json,2,collision_numbered,True,4771993,1771591380.668316
Echo & Ink.json,Echo & Ink,Echo & Ink.json,1,unique,False,406800,1778226843.0
ECO HOME ENHANCEMENTS LTD - GetReportByID.json,ECO HOME ENHANCEMENTS Ltd,ECO HOME ENHANCEMENTS Ltd.json,1,unique,True,1061339,1748358849.0
ED MUNIZ SERVICES LTD - GetReportByID.json,ED MUNIZ SERVICES Ltd,ED MUNIZ SERVICES Ltd.json,1,unique,True,815866,1747148288.0
Elar One Ltd.json,Elar One Ltd,Elar One Ltd.json,1,unique,False,785860,1771591290.4799643
ELIJA LIMITED.json,ELIJA Limited,ELIJA Limited.json,1,unique,True,3397559,1774430950.0
Ellevate Limited - GetReportByID (1)(1).json,Ellevate Limited,Ellevate Limited - 01.json,6,collision_numbered,True,484945,1752749517.0
Ellevate Limited - GetReportByID 050625.json,Ellevate Limited,Ellevate Limited - 02.json,6,collision_numbered,True,477810,1749118466.0
Ellevate Limited - GetReportByID 3.json,Ellevate Limited,Ellevate Limited - 03.json,6,collision_numbered,True,492868,1746186038.0
Ellevate Limited - GetReportByID1.json,Ellevate Limited,Ellevate Limited - 04.json,6,collision_numbered,True,488883,1745838797.0
Ellevate Limited - GetReportByID2.json,Ellevate Limited,Ellevate Limited - 05.json,6,collision_numbered,True,494067,1746091965.0
Ellevate Limited.json,Ellevate Limited,Ellevate Limited - 06.json,6,collision_numbered,True,488038,1771591381.9502244
Ellevate Ltd.json,Ellevate Ltd,Ellevate Ltd.json,1,unique,False,484674,1747821206.0
Elm Pub Group Ltd TA As The Bull Inn.json,Elm Pub Group Ltd TA As The Bull Inn,Elm Pub Group Ltd TA As The Bull Inn - 01.json,3,collision_numbered,True,387351,1725525128.0
"Elm Pub Group Ltd TA As The Bull Inn_0,0.json",Elm Pub Group Ltd TA As The Bull Inn,Elm Pub Group Ltd TA As The Bull Inn - 02.json,3,collision_numbered,True,609304,1771591381.9845817
Elm Pub Group Ltd TA As The Bull Inn_categorized.json,Elm Pub Group Ltd TA As The Bull Inn,Elm Pub Group Ltd TA As The Bull Inn - 03.json,3,collision_numbered,True,609435,1726256727.0
Elpromotions Limited - Transaction Report.json,Elpromotions Limited,Elpromotions Limited - 01.json,3,collision_numbered,True,191975,1719912518.0
"Elpromotions Limited_0,0.json",Elpromotions Limited,Elpromotions Limited - 02.json,3,collision_numbered,True,214653,1771591382.4683256
Elpromotions Limited_categorized.json,Elpromotions Limited,Elpromotions Limited - 03.json,3,collision_numbered,True,215061,1726256727.0
Els Management Ltd.json,Els Management Ltd,Els Management Ltd - 01.json,4,collision_numbered,True,2537150,1725954455.0
"Els Management Ltd_0,0.json",Els Management Ltd,Els Management Ltd - 02.json,4,collision_numbered,True,3907468,1726855020.0
Els Management Ltd_categorized.json,Els Management Ltd,Els Management Ltd - 03.json,4,collision_numbered,True,4103892,1771591290.562616
"Els Management Ltd_categorized_0,0.json",Els Management Ltd,Els Management Ltd - 04.json,4,collision_numbered,True,3907966,1726855020.0
Elsco Private Limited - Transaction Report.json,Elsco Private Limited,Elsco Private Limited - 01.json,3,collision_numbered,True,189975,1719912587.0
"Elsco Private Limited_0,0.json",Elsco Private Limited,Elsco Private Limited - 02.json,3,collision_numbered,True,213356,1771591384.8841207
Elsco Private Limited_categorized.json,Elsco Private Limited,Elsco Private Limited - 03.json,3,collision_numbered,True,213808,1726256727.0
EMP MOTORS LTD.json,EMP MOTORS Ltd,EMP MOTORS Ltd.json,1,unique,True,2222746,1771591290.4799643
Ephos Group Transaction Report.json,Ephos Group,Ephos Group.json,1,unique,True,722219,1722525702.0
Equinim.json,Equinim,Equinim.json,1,unique,False,3362428,1776687565.0
Erfan Carpet.json,Erfan Carpet,Erfan Carpet.json,1,unique,False,448803,1771591290.563233
Evopure Ltd.json,Evopure Ltd,Evopure Ltd.json,1,unique,False,1273296,1771591290.563233
Faith & Love nursery Ltd.json,Faith & Love Nursery Ltd,Faith & Love Nursery Ltd.json,1,unique,True,1508468,1771591290.646454
Farm to Fridge Ltd.json,Farm To Fridge Ltd,Farm To Fridge Ltd.json,1,unique,True,2983885,1771591290.646454
firstunicorn ltd.json,Firstunicorn Ltd,Firstunicorn Ltd.json,1,unique,True,17727,1778493354.0
Flight training essex LTD - Transaction Report.json,Flight Training Essex Ltd,Flight Training Essex Ltd - 01.json,2,collision_numbered,True,193131,1719912760.0
"Flight Training Essex ltd_0,0.json",Flight Training Essex Ltd,Flight Training Essex Ltd - 02.json,2,collision_numbered,True,426316,1771591390.066121
Foolgood Salons Ltd.json,Foolgood Salons Ltd,Foolgood Salons Ltd.json,1,unique,False,840861,1771591290.6633844
Forty3 Media.json,Forty3 Media,Forty3 Media.json,1,unique,False,4084650,1771591290.6798022
Four Paws app1.json,Four Paws,Four Paws - 01.json,2,collision_numbered,True,4062110,1771591395.9307733
Four Paws app3.json,Four Paws,Four Paws - 02.json,2,collision_numbered,True,5535306,1771591396.1141357
Four Paws Walking and Training Limited app 4.json,Four Paws Walking And Training Limited,Four Paws Walking And Training Limited.json,1,unique,True,4013366,1771591290.7131095
Four Paws Walking And Training Ltd app 4.json,Four Paws Walking And Training Ltd,Four Paws Walking And Training Ltd - 01.json,6,collision_numbered,True,1361799,1763025909.0
Four Paws Walking and Training Ltd app 5.json,Four Paws Walking And Training Ltd,Four Paws Walking And Training Ltd - 02.json,6,collision_numbered,True,160682,1744125424.0
Four Paws Walking and Training Ltd App2.json,Four Paws Walking And Training Ltd,Four Paws Walking And Training Ltd - 03.json,6,collision_numbered,True,4347359,1724402698.0
